puma_id,pop,noveh_hh,hh_size_carless,c_prop,c_need
__default__,334922499,10793323,1.80209,0.94848,0.90855
0100100,185818,4028,1.62363,0.98073,0.92244
0100200,111233,1417,1.44178,0.91507,0.85891
0100300,157747,2927,1.88931,0.93449,0.8992
0100401,118478,1084,2.03044,0.99444,0.89439
0100402,166082,2671,1.52827,0.97243,0.90397
0100403,107777,2585,1.35126,0.92176,0.88054
0100501,113129,1776,1.85304,0.9699,0.93459
0100600,125322,2167,1.50162,0.97758,0.94559
0100700,128548,2014,1.46822,0.9429,0.91588
0100800,116090,2875,1.95652,0.95454,0.93657
0100900,153684,1957,1.74962,0.96461,0.90241
0101000,143432,2031,1.90743,0.96232,0.90282
0101100,123579,4009,1.62933,0.89486,0.87356
0101201,101393,447,2.33333,1.00312,0.89968
0101202,136159,4733,1.88971,0.94089,0.91826
0101301,116582,2262,1.8855,1.02225,0.92944
0101401,118372,2330,2.17811,1.01939,0.94687
0101402,127474,2430,1.47901,0.90769,0.89796
0101403,186844,10700,1.62458,0.94979,0.91673
0101404,183324,2378,1.27586,0.95813,0.85573
0101501,140248,1382,1.89001,0.98076,0.91093
0101502,135955,1268,2.24685,0.97897,0.89126
0101600,133149,3401,1.54749,0.96982,0.91996
0101700,114669,3855,1.69105,0.95879,0.92877
0101801,107299,4027,1.71989,0.93656,0.91478
0101802,105578,1831,1.91207,1.00925,0.97192
0101901,103367,1245,1.8996,1.04704,0.98328
0102000,114179,3295,1.55266,0.97878,0.93648
0102101,134283,2742,1.69037,0.98044,0.9595
0102201,105662,2485,1.92274,0.92909,0.88754
0102300,152674,4103,1.59347,0.92639,0.91054
0102400,104519,1977,2.25139,0.98507,0.94565
0102500,127010,3424,1.42319,1.00884,0.95701
0102600,127530,3444,1.82056,0.95118,0.92441
0102701,125490,1213,1.82605,0.99583,0.93141
0102702,121499,1431,1.40252,0.98412,0.95337
0102801,142969,2000,1.517,1.0064,0.93581
0102802,125495,2330,2.04721,0.99096,0.95113
0102803,144126,5316,1.9746,0.92087,0.93654
0200101,130554,3495,1.56881,0.8704,0.87641
0200102,158422,2860,1.7958,0.87424,0.84624
0200200,173401,2708,2.07533,0.96186,0.88284
0200300,162877,4101,1.75933,0.94414,0.88483
0200400,110452,11281,3.05886,0.8632,0.8762
0400101,193887,2620,1.93244,0.94707,0.8645
0400102,144771,2765,1.73852,0.96549,0.91878
0400103,119415,3379,1.68748,0.97695,0.94912
0400104,108866,2986,1.50804,0.9622,0.92998
0400105,171427,1462,1.88304,1.03465,0.91786
0400106,121992,1902,1.89012,0.90337,0.88398
0400107,128643,1587,1.81285,1.01248,0.87358
0400108,112473,1340,1.91343,0.97489,0.94028
0400109,113311,4745,2.24426,0.91781,0.92003
0400110,128476,2619,1.34021,0.93346,0.88811
0400111,111940,1704,1.27582,0.95327,0.91919
0400112,137045,1194,1.87605,0.96445,0.91533
0400113,104690,1605,1.8405,0.93284,0.87411
0400114,112449,2789,1.86518,0.95377,0.92105
0400115,113990,3681,1.66286,0.94262,0.91027
0400116,111627,5755,1.64831,0.95061,0.92243
0400117,109021,3403,1.41699,0.93078,0.89338
0400118,117221,6978,1.54686,0.94545,0.91251
0400119,116465,2822,1.92665,0.98013,0.9405
0400120,108666,1241,1.52055,0.97106,0.9076
0400121,180332,2439,2.77696,0.96188,0.94804
0400122,104118,2526,2.23595,1.0107,0.98265
0400123,119519,1963,2.7728,0.99175,0.99099
0400124,118837,3206,2.03993,0.95958,0.93828
0400125,114544,3030,1.64356,0.97573,0.93642
0400126,130534,2814,1.71748,0.969,0.90588
0400127,122503,1711,1.49737,0.99606,0.91267
0400128,110587,1362,1.95888,0.97563,0.90579
0400129,145819,1505,1.97409,0.9954,0.89316
