puma_id,pop,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15
__default__,334922503,0.54590019,0.01733785,0.18045844,0.01969979,0.08868247,0.00248489,0.02262385,0.00320044,0.03406015,0.00170388,0.02324336,0.00553656,0.03214259,0.00268016,0.0148142,0.00543118
0100100,185806,0.47979075,0.00628074,0.21236666,0.01091461,0.08845247,0.00112483,0.0302466,0.00196441,0.04684994,0.00095799,0.03745842,0.0076962,0.04104819,0.0008934,0.02858896,0.00536581
0100200,110524,0.6092161,0.00674062,0.14950599,0.00422533,0.07383012,0.00028953,0.02323477,0.00100431,0.04658717,0.0,0.0255872,0.00267815,0.03754841,9.953e-05,0.01600557,0.00344722
0100300,157693,0.50446754,0.00649363,0.20046546,0.00901752,0.08770205,0.00046292,0.02230917,0.00150926,0.0514988,0.00242243,0.03582911,0.00819948,0.03962129,0.00110975,0.02303844,0.00585315
0100401,119356,0.61971748,0.00815208,0.13427059,0.00395456,0.08598646,0.00083783,0.01970575,0.0005027,0.05094842,0.00082945,0.01701632,0.00134891,0.03714099,0.00122323,0.01677335,0.00159188
0100402,166109,0.61885268,0.00736264,0.15967226,0.00718805,0.07443305,0.00019866,0.01460487,0.00058997,0.04341125,0.00141473,0.02999837,0.00119801,0.02359896,0.00190839,0.01085432,0.00471377
0100403,107870,0.56144433,0.00662835,0.16629276,0.00979883,0.10265134,0.00088069,0.02172986,0.00262353,0.0326226,0.00012052,0.03268749,0.0061741,0.03646055,0.00256791,0.01372949,0.00358765
0100501,113038,0.48232453,0.00700649,0.24756277,0.00951008,0.08389214,0.00094658,0.02162105,0.00156585,0.03859764,0.00027424,0.04021656,0.00416674,0.03393549,0.00121198,0.02273572,0.00443214
0100600,125413,0.39428927,0.00540614,0.29870907,0.00609187,0.07507196,0.00067776,0.04014735,0.0026632,0.03952541,0.00226452,0.05914857,0.00486393,0.03895928,0.00158676,0.02820282,0.0023921
0100700,128776,0.44127788,0.00114152,0.24378766,0.00524166,0.09174846,0.00087749,0.0395027,0.00256259,0.04811456,0.00211219,0.04798254,0.00503976,0.03815152,0.00113375,0.02647232,0.00485339
0100800,116227,0.42457432,0.00760581,0.24741239,0.01959958,0.06982027,0.00244349,0.02717957,0.00281346,0.05304275,0.00055065,0.05570134,0.00897382,0.0549356,0.00054204,0.01893708,0.00586783
0100900,153822,0.53213455,0.00601995,0.18449897,0.00665705,0.08622304,0.00079312,0.02636814,0.00032505,0.04642379,0.00147573,0.03711433,0.00390061,0.04237365,0.00161875,0.02260405,0.00146923
