STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,110,400101,2928,+41.629080,-072.725239
09,110,400102,4299,+41.621213,-072.757198
09,110,400200,5997,+41.597946,-072.769056
09,110,400300,6951,+41.630354,-072.784405
09,110,415300,2521,+41.666840,-072.768166
09,110,415400,6179,+41.661016,-072.760157
09,110,415500,3094,+41.657644,-072.770604
09,110,415600,4198,+41.654529,-072.781009
09,110,415700,3256,+41.656224,-072.789618
09,110,415800,2873,+41.663371,-072.794814
09,110,415900,1647,+41.671684,-072.790721
09,110,416000,4537,+41.677326,-072.790057
09,110,416100,4955,+41.677452,-072.780200
09,110,416200,3025,+41.678800,-072.772710
09,110,416300,3810,+41.675117,-072.762702
09,110,416400,3152,+41.657191,-072.808764
09,110,416500,4833,+41.676170,-072.810490
09,110,416600,3150,+41.672813,-072.800548
09,110,416700,6877,+41.692150,-072.797586
09,110,416800,3079,+41.686211,-072.776891
09,110,417100,1857,+41.664724,-072.779431
09,110,417200,1702,+41.687931,-072.762410
09,110,417300,2045,+41.692059,-072.766127
09,110,417400,3012,+41.706960,-072.770640
09,110,417500,4333,+41.700662,-072.784521
09,110,420400,3021,+41.688440,-072.880728
09,110,420500,5321,+41.665024,-072.873396
09,110,420601,2596,+41.662439,-072.860299
09,110,420602,3224,+41.681955,-072.851363
09,110,420700,3363,+41.665991,-072.847618
09,110,430100,4141,+41.595418,-072.876370
09,110,430201,3373,+41.633915,-072.865035
09,110,430202,4616,+41.617244,-072.846354
09,110,430203,4024,+41.597353,-072.857277
09,110,430301,3855,+41.565933,-072.855363
09,110,430302,2878,+41.575903,-072.872828
09,110,430400,5092,+41.573392,-072.901975
09,110,430501,1705,+41.594398,-072.893996
09,110,430502,5157,+41.592469,-072.917429
09,110,430602,3451,+41.607163,-072.889832
09,110,430603,2170,+41.613567,-072.869313
09,110,430604,3039,+41.627153,-072.905525
09,110,460100,3441,+41.723588,-072.784992
09,110,460202,4820,+41.722070,-072.815631
09,110,460203,3313,+41.744393,-072.844204
09,110,460204,6190,+41.713620,-072.876586
09,110,460301,5025,+41.748383,-072.871973
